10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0
15,4,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,28,0
6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
25,18,0,0,0,0,0,0,175,0,0,0,0,0,0,94,0,0,0,0,0,0,72,0,0,0,0,0,0,130,0
60,1,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0
15,4,0,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0
13,2,0,0,0,0,0,0,15,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0
24,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
150,6,0,0,0,0,0,0,27,0,0,0,0,0,0,49,0,0,0,0,0,0,20,0,0,0,0,0,0,37,0
20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0
400,12,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,106,0
500,51,0,0,0,0,0,0,378,0,0,0,0,0,0,169,0,0,0,0,0,0,267,0,0,0,0,0,0,195,0
